statenu,COVI,,,,,,
1,1.278,,,,,,
2,-0.410,,,,,,
4,0.156,,,,,,
5,1.367,,,,,,
6,-1.920,,,,,,
8,-2.096,,,,,,
9,0.465,,,,,,
10,-0.294,,,,,,
12,0.684,,,,,,
13,0.429,,,,,,
15,-2.256,,,,,,
16,0.309,,,,,,
17,-1.152,,,,,,
18,0.882,,,,,,
19,-0.099,,,,,,
20,1.039,,,,,,
21,1.019,,,,,,
22,0.580,,,,,,
23,-0.430,,,,,,
24,-0.562,,,,,,
25,-0.600,,,,,,
26,0.250,,,,,,
27,0.095,,,,,,
28,1.567,,,,,,
29,1.075,,,,,,
30,0.694,,,,,,
31,0.155,,,,,,
32,-1.884,,,,,,
33,1.687,,,,,,
34,-0.582,,,,,,
35,-0.175,,,,,,
36,-0.299,,,,,,
37,-0.134,,,,,,
38,-0.809,,,,,,
39,1.061,,,,,,
40,0.849,,,,,,
41,-2.540,,,,,,
42,0.621,,,,,,
44,-0.204,,,,,,
45,1.183,,,,,,
46,0.987,,,,,,
47,1.010,,,,,,
48,1.294,,,,,,
49,-1.209,,,,,,
50,-2.295,,,,,,
51,-0.734,,,,,,
53,-2.422,,,,,,
54,-0.205,,,,,,
55,1.365,,,,,,
56,1.211,,,,,,