inputstate,COVI
1,0.616
2,-0.152
4,0.256
5,0.555
6,-1.262
8,-0.721
9,-0.227
10,0.126
12,0.458
13,0.211
15,-0.727
16,-0.053
17,-0.650
18,0.686
19,-0.757
20,0.382
21,0.688
22,-0.142
23,-0.867
24,-0.777
25,-0.697
26,0.594
27,-0.261
28,1.086
29,0.320
30,-0.149
31,-0.294
32,0.320
33,1.218
34,-0.670
35,0.575
36,0.010
37,-0.052
38,-0.896
39,0.605
40,0.371
41,-2.016
42,0.417
44,-0.107
45,0.821
46,0.464
47,0.598
48,0.900
49,-1.090
50,-0.249
51,0.900
53,-0.915
54,-0.287
55,0.250
56,0.591